NewsID,WordCount,PositiveSentiment,NegativeSentiment,NeutralSentiment,CompoundSentiment,NumberOfAuthors,UniqueUserShares,AvgClusteringCoeff,AvgEigenvectorCentrality
1,236,0.117,0.172,0.711,-0.9359,4,35,0.1679123568987668,0.0061835777623192
2,527,0.084,0.086,0.83,-0.732,4,47,0.1372817337376861,0.0036626616852951
3,205,0.149,0.108,0.743,0.743,0,32,0.1416059101102966,0.0026922292440045
4,172,0.06,0.148,0.792,-0.9452,4,19,0.1032891656152414,0.0022285738871314
5,329,0.063,0.143,0.795,-0.9783,1,7,0.1311798587885544,0.0032634535530954
6,287,0.085,0.07,0.845,0.4048,4,70,0.1443946420312789,0.0016031130850752
7,559,0.121,0.109,0.77,0.5416,1,14,0.122101961111606,0.0019522375814953
8,738,0.144,0.058,0.799,0.997,4,246,0.1720212000960735,0.0025797096423018
9,738,0.144,0.058,0.799,0.997,4,246,0.1720212000960735,0.0025797096423018
10,436,0.059,0.095,0.845,-0.9474,1,26,0.091064822184373,0.0020934494026275
11,298,0.082,0.066,0.852,0.8049,3,32,0.1304895688561819,0.0031625253711579
12,392,0.043,0.083,0.873,-0.937,2,44,0.1772323166596293,0.0020209563883657
13,286,0.068,0.023,0.909,0.916,1,66,0.1666249956644149,0.0037865577753962
14,377,0.103,0.081,0.816,0.875,3,32,0.1807916675114087,0.0027170952216078
15,545,0.089,0.134,0.777,-0.9881,4,166,0.1730209388451749,0.002414162558536
16,333,0.074,0.116,0.81,-0.9286,3,24,0.1519373588520124,0.002081084976519
17,1165,0.035,0.081,0.884,-0.9962,7,179,0.1398083270933317,0.003514960673603
18,266,0.101,0.077,0.823,0.8397,2,33,0.1582341832829954,0.0016896184512652
19,825,0.041,0.101,0.858,-0.9927,2,44,0.1460846865549086,0.0018117837416233
20,319,0.11,0.039,0.851,0.9686,1,11,0.1916593035986687,0.000613608130529
21,460,0.108,0.075,0.817,0.9575,2,53,0.1907998487800492,0.0020346317453597
22,173,0.042,0.148,0.81,-0.9536,2,1,0.2857142857142857,0.0010922306764991
23,389,0.169,0.04,0.79,0.9953,1,18,0.1328415769738138,0.0018606897731612
24,325,0.083,0.125,0.792,-0.8894,1,12,0.1620360141419485,0.0013446471104063
25,372,0.056,0.119,0.825,-0.9802,1,13,0.1395472966950046,0.0006555967593789
26,1488,0.068,0.04,0.892,0.9919,2,90,0.1517902648147737,0.0033575267203542
27,64,0.119,0.143,0.739,-0.3542,1,5,0.1456272401433692,0.0004272733973352
28,364,0.049,0.053,0.899,-0.6705,2,27,0.1620623206004737,0.000721923370903
29,378,0.068,0.149,0.783,-0.9776,3,35,0.1863895702818961,0.0021159502106204
30,504,0.067,0.11,0.824,-0.9796,2,49,0.1482766115744565,0.0032533599496508
31,271,0.036,0.117,0.847,-0.9796,3,65,0.1173635469531668,0.0034744021357376
32,512,0.137,0.19,0.673,-0.993,1,12,0.1422165922051505,0.0004508026530827
33,583,0.075,0.142,0.783,-0.9933,2,14,0.263825284692453,0.0010335606495538
34,352,0.08,0.077,0.843,-0.4993,3,169,0.118575402035406,0.0026637269705597
35,341,0.098,0.086,0.816,0.8142,1,5,0.1311840448677014,0.0038952284744921
36,1532,0.098,0.08,0.821,0.97,3,67,0.1414027120305183,0.0025123936896249
37,829,0.082,0.047,0.871,0.9668,2,873,0.139427336474888,0.0025743864661812
38,1771,0.075,0.103,0.822,-0.9959,1,8,0.1143431713924041,0.0007785712669652
39,358,0.103,0.166,0.731,-0.9851,2,21,0.1186514085680607,0.0016737512880696
40,431,0.061,0.211,0.728,-0.9975,1,5,0.0957646161846645,0.0045777709231635
41,41,0.0,0.07,0.93,-0.308,1,56,0.1103387793283782,0.0043835693844626
42,2112,0.103,0.095,0.803,0.9656,2,100,0.175257913007457,0.0019627073864116
43,1176,0.086,0.038,0.875,0.996,1,25,0.1167272301598965,0.0017989857769765
44,1712,0.097,0.122,0.781,-0.9938,6,77,0.1451810488915076,0.0016505589924394
45,930,0.072,0.062,0.865,-0.3973,4,14,0.1712664876938593,0.0012057250726863
46,429,0.087,0.142,0.771,-0.9763,2,46,0.1451870072930425,0.0025356095496028
47,278,0.067,0.023,0.91,0.8917,2,5,0.0382334317716231,0.0033831157188969
48,275,0.107,0.024,0.869,0.9622,2,97,0.1389619438189983,0.0021201403692425
49,819,0.072,0.049,0.879,0.853,0,7,0.166687517919045,0.0012048272843657
50,185,0.052,0.072,0.876,-0.4019,1,168,0.1418779811653929,0.0023587812026204
51,213,0.151,0.034,0.815,0.9795,1,111,0.1281514711218936,0.002561011209786
52,64,0.119,0.143,0.739,-0.3542,1,40,0.0932006134045298,0.0016375966668129
53,344,0.076,0.086,0.838,-0.7582,1,17,0.1705625337626473,0.0029289686116754
54,307,0.094,0.124,0.782,-0.8777,1,6,0.1867753623188406,0.0035547311612877
55,1054,0.057,0.08,0.863,-0.9863,6,26,0.1664375176493477,0.0025986711606907
56,378,0.111,0.041,0.849,0.9755,4,28,0.15680992073585,0.0016864235883331
57,64,0.119,0.143,0.739,-0.3542,1,28,0.104605490528057,0.0033185887824068
58,1773,0.082,0.163,0.755,-0.9996,7,22,0.2128525877032598,0.001086732478358
59,240,0.073,0.029,0.899,0.8955,1,373,0.1396387254459492,0.0022480524489162
60,182,0.14,0.0,0.86,0.9769,2,10,0.1704509358708155,0.002777495551662
61,405,0.061,0.024,0.914,0.9092,2,86,0.1662779194599454,0.0020369872581456
62,369,0.066,0.115,0.819,-0.9616,1,10,0.1244166897464269,0.0082465916694821
63,254,0.197,0.033,0.77,0.9939,1,24,0.1772427706118478,0.0015493950791759
64,464,0.076,0.083,0.84,-0.3353,2,23,0.2063584992442489,0.0017192324225976
65,562,0.081,0.011,0.908,0.9881,1,225,0.1263070025990071,0.0032158299898255
66,326,0.086,0.146,0.769,-0.976,2,15,0.1090291187181943,0.000994630385165
67,273,0.07,0.164,0.766,-0.9769,2,78,0.1611778414686812,0.001515172836941
68,249,0.053,0.062,0.885,-0.6486,1,191,0.1274268964302838,0.0021289462945467
69,445,0.068,0.049,0.884,0.8338,2,53,0.1701303245533399,0.0019167133925728
70,275,0.055,0.049,0.896,-0.5187,1,290,0.1362443118189669,0.0024207418185269
71,473,0.096,0.197,0.707,-0.9972,1,27,0.1432387122462405,0.0042375398059169
72,511,0.053,0.118,0.829,-0.9907,1,11,0.1139555566569332,0.0018449167125424
73,352,0.052,0.235,0.713,-0.9975,4,106,0.1277898955744799,0.0030038211406595
74,846,0.088,0.067,0.844,0.9106,4,9,0.1413908441120898,0.0014438311776263
75,192,0.065,0.185,0.75,-0.9696,2,77,0.156330667729746,0.0033969548356722
76,739,0.046,0.019,0.935,0.939,4,127,0.1271533257812748,0.0025565532098551
77,41,0.0,0.07,0.93,-0.308,1,5,0.1744444444444444,0.0006023320777096
78,112,0.022,0.022,0.956,0.0,2,197,0.1343081651879843,0.001867257247024
79,978,0.087,0.027,0.886,0.9966,6,51,0.1999679397665042,0.0027942206500983
80,274,0.142,0.105,0.753,0.8962,1,46,0.1194853133582064,0.0015094429306505
81,168,0.038,0.04,0.922,-0.3182,1,5,0.1009523809523809,0.0004666641167741
82,1330,0.08,0.05,0.87,0.9885,4,46,0.2133995904018049,0.0040564176881909
